System	Type	pTM+ipTM	pDockQ	minShared	maxShared
mt13	TC	0.18483261622914565	0.021	0.01744186046511628	0.2727272727272727	
mt13	TC	0.1836440295957681	0.035	0.03488372093023256	0.3157894736842105	
mt13	TC	0.18066525508898615	0.019	0.011627906976744186	0.3333333333333333	
mt13	TC	0.17971798102413478	0.022	0.011627906976744186	0.25	
mt13	TC	0.1756728632150071	0	0	0	
mt13	TC	0.17522854768547189	0	0	0	
mt13	TC	0.17363760128626796	0.03	0.03488372093023256	0.5454545454545454	
mt13	TC	0.17202372967919785	0	0	0	
mt13	TC	0.1703489974292625	0.019	0.01744186046511628	0.6	
mt13	TC	0.16883850848715193	0.024	0.01744186046511628	0.2727272727272727	
mt13	TC	0.16826231075620435	0.023	0.005813953488372093	0.2	
mt13	TC	0.16819507293267522	0	0	0	
mt13	TC	0.16634120528186735	0	0	0	
mt13	TC	0.16287469187781997	0	0.005813953488372093	0.5	
mt13	TC	0.16231666329076697	0	0.0	0.0	
mt13	TC	0.16077421789122745	0	0	0	
mt13	TC	0.15995428640308743	0	0	0	
mt13	TC	0.1582823477531323	0	0	0	
mt14	AC	0.3496203456037427	0.042	0.14893617021276595	0.31343283582089554	
mt14	AC	0.31147384958781604	0.048	0.19148936170212766	0.375	
mt14	AC	0.2823459328087027	0.044	0.19148936170212766	0.421875	
mt14	AC	0.2721363755098417	0.044	0.1773049645390071	0.4166666666666667	
mt14	AC	0.2659537156326548	0.055	0.28368794326241137	0.49382716049382713	
mt14	AC	0.2646878573482166	0.041	0.14893617021276595	0.35	
mt14	AC	0.2628806131474394	0.035	0.2198581560283688	0.4025974025974026	
mt14	AC	0.2597748223459419	0.032	0.24822695035460993	0.4861111111111111	
mt14	AC	0.2526038830645949	0.034	0.14893617021276595	0.3442622950819672	
mt14	AC	0.25215182418743237	0.035	0.16312056737588654	0.3898305084745763	
mt14	AC	0.24985208988724833	0.049	0.24113475177304963	0.37777777777777777	
mt14	AC	0.23903421321905294	0.029	0.11347517730496454	0.3137254901960784	
mt14	AC	0.2386008569861811	0.034	0.24113475177304963	0.4927536231884058	
mt14	AC	0.23159491739622987	0.034	0.24113475177304963	0.44155844155844154	
mt14	AC	0.23005742356659026	0.036	0.1347517730496454	0.31666666666666665	
mt14	AC	0.2275244600331014	0.031	0.0851063829787234	0.2222222222222222	
mt14	AC	0.22302126469086422	0.033	0.18439716312056736	0.3939393939393939	
mt14	AC	0.22196089479125708	0.041	0.14893617021276595	0.35	
mt14	AC	0.21850020628296452	0.035	0.19148936170212766	0.3698630136986301	
mt14	AC	0.2175475711880071	0.031	0.19858156028368795	0.3684210526315789	
mt14	AC	0.21093693613704062	0.035	0.18439716312056736	0.36619718309859156	
mt14	AC	0.20765706849019777	0.033	0.24113475177304963	0.4358974358974359	
mt14	AC	0.19995644187580175	0.029	0.1347517730496454	0.36538461538461536	
mt14	AC	0.19138281419383796	0.035	0.1702127659574468	0.41379310344827586	
mt14	AC	0.18259154777932113	0.039	0.1773049645390071	0.32051282051282054	
mt14	AT	0.8376542659861913	0.432	0.5673758865248227	0.8080808080808081	
mt14	AT	0.8313692502938783	0.443	0.5673758865248227	0.8695652173913043	
mt14	AT	0.827822914337832	0.416	0.5673758865248227	0.7017543859649122	
mt14	AT	0.8259809862888037	0.401	0.5602836879432624	0.8681318681318682	
mt14	AT	0.8259281304190808	0.393	0.5673758865248227	0.7766990291262136	
mt14	AT	0.8225712737179292	0.388	0.5957446808510638	0.7706422018348624	
mt14	AT	0.8213316938176479	0.404	0.574468085106383	0.81	
mt14	AT	0.8182572729755062	0.38	0.5673758865248227	0.7619047619047619	
mt14	AT	0.8173084301959046	0.369	0.574468085106383	0.7297297297297297	
mt14	AT	0.8159451021489593	0.387	0.5531914893617021	0.9176470588235294	
mt14	AT	0.8158053584553774	0.39	0.574468085106383	0.801980198019802	
mt14	AT	0.8154004959528066	0.328	0.5106382978723404	0.8571428571428571	
mt14	AT	0.8143279993246727	0.408	0.5390070921985816	0.9047619047619048	
mt14	AT	0.8131361939483948	0.404	0.5673758865248227	0.8602150537634409	
mt14	AT	0.8094686856395613	0.376	0.574468085106383	0.7641509433962265	
mt14	AT	0.8084521906628401	0.25	0.5177304964539007	0.7525773195876289	
mt14	AT	0.8078668991804665	0.284	0.49645390070921985	0.8235294117647058	
mt14	AT	0.80731541161477	0.368	0.5602836879432624	0.7745098039215687	
mt14	AT	0.8061130078947916	0.416	0.5177304964539007	0.948051948051948	
mt14	AT	0.8059685548382057	0.367	0.5390070921985816	0.8735632183908046	
mt14	AT	0.7997308971511201	0.355	0.5673758865248227	0.7619047619047619	
mt14	AT	0.791884226320768	0.402	0.5106382978723404	0.935064935064935	
mt14	AT	0.7886857565428009	0.313	0.5673758865248227	0.7692307692307693	
mt14	AT	0.7525650964731118	0.235	0.5319148936170213	0.8928571428571429	
mt14	AT	0.7059572297310059	0.225	0.5319148936170213	0.7142857142857143	
mt14	ATC	0.5629806860788804				
mt14	ATC	0.5444500849519984				
mt14	ATC	0.5435320621383817				
mt14	ATC	0.5433854879212103				
mt14	ATC	0.5372909668967976				
mt14	ATC	0.5351791518767638				
mt14	ATC	0.5316478270384745				
mt14	ATC	0.5295722992778519				
mt14	ATC	0.5281847756007775				
mt14	ATC	0.52613447990115				
mt14	ATC	0.5204077348122657				
mt14	ATC	0.519882856106209				
mt14	ATC	0.5158711556463286				
mt14	ATC	0.5140608765624995				
mt14	ATC	0.5072532087717865				
mt14	ATC	0.5063875655152239				
mt14	ATC	0.48980793729165334				
mt14	ATC	0.46300365281078393				
mt14	ATC	0.4625268297979096				
mt14	ATC	0.4620830024298077				
mt14	ATC	0.4312695867249541				
mt14	ATC	0.4001027984681518				
mt14	ATC	0.39387936161658704				
mt14	ATC	0.360513372514527				
mt14	ATC	0.3493978313343388				
mt14	TC	0.19075052623746508	0.023	0.028368794326241134	0.2222222222222222	
mt14	TC	0.18971545151317332	0.024	0.028368794326241134	0.2857142857142857	
mt14	TC	0.18834099311489183	0	0	0	
mt14	TC	0.18569856451000114	0.022	0.0	0.0	
mt14	TC	0.18393632678657812	0.028	0.0	0.0	
mt14	TC	0.1832731394388067	0.023	0.03546099290780142	0.23809523809523808	
mt14	TC	0.18320706975291473	0.022	0.0	0.0	
mt14	TC	0.1824471479106869	0.027	0.0425531914893617	0.2608695652173913	
mt14	TC	0.18166857840163209	0.051	0.028368794326241134	0.1111111111111111	
mt14	TC	0.17832786367166575	0.022	0.02127659574468085	0.1875	
mt14	TC	0.1773643341789176	0.022	0.02127659574468085	0.15789473684210525	
mt14	TC	0.17545817791361876	0.034	0.03546099290780142	0.20833333333333334	
mt14	TC	0.1730493568314021	0.036	0.014184397163120567	0.1111111111111111	
mt14	TC	0.17080108770282657	0.034	0.0	0.0	
mt14	TC	0.16923695655185667	0.051	0.014184397163120567	0.09090909090909091	
mt14	TC	0.16852795347220406	0.022	0.0	0.0	
mt14	TC	0.16772045951681092	0.026	0.014184397163120567	0.14285714285714285	
mt14	TC	0.16686836650009595	0.018	0.0	0.0	
mt14	TC	0.16669041536862167	0.043	0.02127659574468085	0.15	
mt14	TC	0.16553773363698535	0.042	0.0	0.0	
mt14	TC	0.16492155002543746	0.044	0.014184397163120567	0.1	
mt14	TC	0.16296840286228448	0.05	0.014184397163120567	0.11764705882352941	
mt14	TC	0.15923521801710208	0.019	0.0	0.0	
mt14	TC	0.15829241161814478	0.027	0.0	0.0	
mt14	TC	0.15435180421800856	0	0	0	
mt15	AT	0.10706163946428328	0.019			
mt15	AT	0.10671510434535243	0.02			
mt15	AT	0.10645868931239391	0			
mt15	AT	0.10634229938217987	0.02			
mt15	AT	0.10584952918436695	0			
mt15	AT	0.10512619816320731	0			
mt15	AT	0.10486382569219566	0.019			
mt15	AT	0.10294272985640929	0			
mt15	AT	0.10250368387966281	0			
mt15	AT	0.10224919732837347	0.019			
mt15	AT	0.10184363549683653	0			
mt15	AT	0.10141672355295231	0.019			
mt15	AT	0.10131548042216719	0.019			
mt15	AT	0.10125021425058693	0			
mt15	AT	0.09979597960571338	0.019			
mt15	AT	0.0993921965627306	0.02			
mt15	AT	0.09862662837336329	0.022			
mt15	AT	0.09786714352152714	0.019			
mt15	AT	0.09639702290646156	0.019			
mt15	AT	0.095692431354611	0.019			
mt15	AT	0.09529977078669362	0			
mt15	AT	0.09447988428973801	0.019			
mt15	AT	0.09314055448748987	0.019			
mt15	AT	0.09275983633198409	0.019			
mt15	AT	0.09104882686993326	0			
mt16	16trunc2A4C	0.5709576700589446				
mt16	16trunc2A4C	0.5584358656469512				
mt16	16trunc2A4C	0.5581094421544244				
mt16	16trunc2A4C	0.5513668775340143				
mt16	16trunc2A4C	0.5488724018756767				
mt16	16trunc2A4C	0.5478508857961965				
mt16	16trunc2A4C	0.5444426994402295				
mt16	16trunc2A4C	0.5148293813674593				
mt16	16trunc2A4C	0.49251810939206436				
mt16	16trunc2A4C	0.48504780848769663				
mt16	16trunc2A4C	0.4679292532499421				
mt16	16trunc2A4C	0.4548685850473709				
mt16	16trunc2A4C	0.44555758631616027				
mt16	16trunc2A4C	0.4446854838746715				
mt16	16trunc2A4C	0.44098247952668884				
mt16	16trunc2A4C	0.4366917779765384				
mt16	16trunc2A4C	0.4255329146543792				
